fecha,temp_min,temp_max,temp_tarde,temp_noche,temp_vespertina,temp_manana,humedad_tarde,precipitacion_total,presion_tarde,vel_viento_max,dir_viento_max,nubosidad_tarde,latitude,longitude
2014-01-01,24,33.2,32.1,25.3,32.2,24.1,56,1.25,1008,9.26,110,40,-30.0346,-51.2177
2014-01-02,24,33.5,30.9,26.7,29.8,24.8,64,12.86,1002,8.23,330,75,-30.0346,-51.2177
2014-01-03,20.8,24.1,23.1,24.1,22.1,24,89,20.81,1011,6.2,250,90,-30.0346,-51.2177
2014-01-04,17.8,28.5,25.1,20.5,27.5,17.8,50,0,1019,6.69,110,40,-30.0346,-51.2177
2014-01-05,17.4,32.5,27.1,20.5,30.1,17.4,62,0,1017,5.14,120,0,-30.0346,-51.2177
2014-01-06,19.8,33.8,30.1,22.4,31.6,19.8,49,0,1015,7.71,106,0,-30.0346,-51.2177
2014-01-07,22.3,35.7,32.2,24.1,35.7,22.3,45,0,1011,4.63,337,0,-30.0346,-51.2177
2014-01-08,24.1,29.8,27.5,29.8,29.5,25,67,5.26,1011,5.14,250,0,-30.0346,-51.2177
2014-01-09,20.9,32.8,28.7,23.9,30.5,21.5,65,4.31,1012,6.69,110,40,-30.0346,-51.2177
2014-01-10,21.8,31.9,27.8,25,25.1,22.9,78,6.61,1011,6.17,221,40,-30.0346,-51.2177
2014-01-11,20.1,29,28.1,22.6,24,20.3,63,25.6,1012,8.23,300,20,-30.0346,-51.2177
2014-01-12,19.8,26.2,23.1,23,25,20.3,83,37.43,1019,6.17,90,75,-30.0346,-51.2177
2014-01-13,21.8,28.9,27.2,22.1,27.2,22.1,71,15.63,1015,5.66,170,75,-30.0346,-51.2177
2014-01-14,22.8,30.8,26.8,23.7,29.8,23.3,74,1.48,1013,8.75,180,75,-30.0346,-51.2177
2014-01-15,21.8,27.8,23.1,22.8,27.8,22.1,94,32.26,1013,3.09,170,75,-30.0346,-51.2177
2014-01-16,19.4,32.1,28.2,23.1,29.8,19.4,62,0,1013,5.66,120,40,-30.0346,-51.2177
2014-01-17,18.6,34.1,29.6,22.9,31.5,19.1,58,0,1014,6.17,100,0,-30.0346,-51.2177
2014-01-18,19.3,35.3,31.3,23.1,31.9,19.3,53,1.02,1014,4.12,100,0,-30.0346,-51.2177
2014-01-19,21.4,35.8,31.4,24.3,35.8,22,46,2.7,1012,4.12,340,0,-30.0346,-51.2177
2014-01-20,22.8,37.5,33.8,28.3,35.1,24.4,41,0,1011,8.75,90,0,-30.0346,-51.2177
2014-01-21,21.1,37.5,33.5,25.4,36.7,22.3,44,0,1008,6.69,280,0,-30.0346,-51.2177
2014-01-22,25.1,36.8,33.1,28.5,36.4,25.1,55,0.3,1010,7.72,110,0,-30.0346,-51.2177
2014-01-23,24.8,37.5,34.5,27.9,37.5,24.8,50,0.48,1009,6.17,110,0,-30.0346,-51.2177
2014-01-24,25.1,37.5,32.7,29.4,33.8,29,58,10.12,1008,9.77,300,75,-30.0346,-51.2177
2014-01-25,20,25.1,22.8,25.1,21.1,22.1,66,12.82,1017,6.17,154,90,-30.0346,-51.2177
2014-01-26,20.3,27.8,25.5,20.3,26.8,21.1,79,15.54,1016,8.75,110,75,-30.0346,-51.2177
2014-01-27,22.8,35.5,30.8,23.4,35.5,23.1,66,1.92,1014,6.69,100,20,-30.0346,-51.2177
2014-01-28,23.8,36.7,33.1,26.8,30.2,23.8,61,1.4,1012,6.17,90,0,-30.0346,-51.2177
2014-01-29,24.8,36.9,32.9,26.8,34.8,25.5,60,2.24,1013,5.65,233,0,-30.0346,-51.2177
2014-01-30,24.2,36.9,33.2,26.8,33.7,24.8,52,8.39,1012,7.2,347,0,-30.0346,-51.2177
2014-01-31,23,31.3,29.8,24.8,26.6,23.3,64,3.94,1012,5.14,220,0,-30.0346,-51.2177
2014-02-01,22.8,33.1,29.1,24.9,31.2,22.8,67,5.82,1013,8.8,350,20,-30.0346,-51.2177
2014-02-02,22.6,36.9,31,24.3,36.8,22.6,58,2.8,1010,4.11,175,0,-30.0346,-51.2177
2014-02-03,24.4,36.7,34.5,29.1,36.7,24.4,50,0.5,1009,6.69,100,0,-30.0346,-51.2177
2014-02-04,24.8,36.8,32.3,27.1,31.5,24.8,53,1.8,1010,6.69,190,0,-30.0346,-51.2177
2014-02-05,24.8,39.5,34.6,28,39.4,24.8,53,0,1011,5.66,90,0,-30.0346,-51.2177
2014-02-06,26.8,40,35.4,29.9,40,26.9,51,0,1011,7.2,130,0,-30.0346,-51.2177
